"external_exercise_id","ymove_title","old_name","new_name","quality_score","validation_status","rejection_reasons","missing_technical_details"
"0d3505ae-ce8d-4ad5-b8d0-8c172dd08969","High Row Machine","Machine Machine","","20","TECHNICAL_REVIEW","repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement",""
"0de79ddc-e829-4543-942c-e385cc76ac5e","Dumbbell Squat","Manubrio Manubrio","","20","TECHNICAL_REVIEW","repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement",""
"0df165d9-3c63-4506-a2f1-6f64544fda5d","Forward to Reverse Bear Crawl","Crawl","Bear crawl","96","VALIDATED","",""
"0e19fa47-7a77-4fdf-86a0-66258725fa3d","Box Toe Tap","Box Toe Tap","","44","RESEARCH_REQUIRED","missing_main_movement|copied_english_title",""
"0e43c62b-bcf6-4115-8fa4-3049a4d8f24a","Criss-cross jumping jacks","Salto","","68","TECHNICAL_REVIEW","too_generic_for_detailed_title",""
"0e5f29cd-ff79-428a-bb1c-1753a9047f32","Barbell Full Squat","Full Squat Con bilanciere","Full Squat Con bilanciere","92","VALIDATED","",""
"0ed37189-d6ea-48c0-83cb-587b44a7b546","Sumo walk","Sumo Sumo","","44","TECHNICAL_REVIEW","consecutive_duplicate_words|missing_main_movement",""
"0f14071c-279d-4926-b41a-cb4dc900bb1d","High plank toe touches","Plancia","","44","TECHNICAL_REVIEW","missing_main_movement|too_generic_for_detailed_title",""
"0fed480a-62f6-44d9-a457-787ebcd1395f","Single Arm Preacher Curl","monopodalico Curl","","52","TECHNICAL_REVIEW","lost_technical_details","dumbbell|one arm"
"0ff4b70c-8c21-42a0-83c9-a0aa4fcc4b4a","Swimmers","Swimmers","","44","RESEARCH_REQUIRED","missing_main_movement|copied_english_title",""
"0ff5e9fe-9d15-426a-8c06-fd62a198dc47","Dumbbell shadow box","Manubrio su rialzo Manubrio","","68","TECHNICAL_REVIEW","missing_main_movement",""
"10014d85-339e-4573-876d-87b003c28671","Tricep extension knee ins","Estensione","Estensione","92","VALIDATED","",""
"109aec41-eaeb-4963-908a-e53b560789ee","High Cable Row","Cavo Cavo","Rematore al cavo","92","VALIDATED","",""
"109f6115-f03d-48da-802a-2e2aa385678d","Back Extension - Hyperextension","Iperestensioni lombari alla panca romana","","60","TECHNICAL_REVIEW","lost_technical_details","machine"
"10a31695-e218-4819-b7d3-b67b1b5ac79d","Close Grip Lat Pulldown","Lat machine","","52","TECHNICAL_REVIEW","lost_technical_details","cable|close"
"10affa59-53b8-40a9-a06c-36b70d2bb005","Russian twists","Russian twists","","44","RESEARCH_REQUIRED","missing_main_movement|copied_english_title",""
"10be21b8-de6f-4c33-9101-eadca351e663","Crab walks into squats","Squat","","68","TECHNICAL_REVIEW","too_generic_for_detailed_title",""
"10d2c91e-60e8-416d-8c91-def45954009c","Close Grip Plate Press","presa stretta con disco Spinta","","60","TECHNICAL_REVIEW","lost_technical_details","barbell"
"1121f617-3012-4e15-a6d9-86ed9440acce","Step Calf Raise","Alzata","","68","TECHNICAL_REVIEW","missing_main_movement",""
"1158c681-55e9-4db0-bb73-3dab32d99aa5","Barbell Curls","Bilanciere Bilanciere","Curl con bilanciere","92","VALIDATED","",""
"1267bc89-80f9-46ad-9f94-e7e542854042","Wide Grip Barbell Curl","Bilanciere presa larga Bilanciere","","68","TECHNICAL_REVIEW","missing_main_movement",""
"1328cea8-8e8b-4a64-9f6a-10d8031b2f27","Russian Twist - no weight","Russian Twist - no weight","","44","RESEARCH_REQUIRED","missing_main_movement|copied_english_title",""
"13351b5d-ef3f-4c6b-9f47-df62202d32b2","Leg Press Close Stance - Glute Focus","presa stretta Pressa per gambe","","60","TECHNICAL_REVIEW","lost_technical_details","machine"
"14044ef0-8d9d-4d65-9365-0f1bc2dd3c11","Walking knee raises","Alzata","","68","TECHNICAL_REVIEW","missing_main_movement",""
"147a7908-fdd3-4f79-94ca-f9a69989e14c","Single arm push up (R)","Push-up","","40","TECHNICAL_REVIEW","too_generic_for_detailed_title|lost_technical_details","one arm"
"14a3a8fe-dc12-4c4b-865b-d5e0514c54d4","Dumbbell Skull Crushers","Manubrio Manubrio","","20","TECHNICAL_REVIEW","repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement",""
"1523b6fd-d8b9-4406-b188-5d1545dd0cb2","Reclined pigeon pose (left)","Reclined pigeon pose (left)","","44","RESEARCH_REQUIRED","missing_main_movement|copied_english_title",""
"1575dc75-93ab-4c7f-b924-4ed4eda2adc8","Dumbbell Russian Twist","Manubrio Manubrio","","20","TECHNICAL_REVIEW","repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement",""
"15ae3c6a-9e5c-43c6-a9df-6a1cd454e1c5","Smith Machine Lunges","Smith machine","","68","TECHNICAL_REVIEW","missing_main_movement",""
"16916d8d-2bce-459a-a87f-fa511936260c","Seated Neutral Grip Cable Press","Seduto Cavo presa neutra Spinta","Seduto Cavo presa neutra Spinta","92","VALIDATED","",""
"16a76541-f17e-49fe-832c-27776a9ec2e3","Scapula push ups","Push-up","","72","TECHNICAL_REVIEW","too_generic_for_detailed_title",""
