external_exercise_id,ymove_title,final_italian_name,compared_existing_exercise_key,compared_existing_exercise_name,score,score_gap,contradictions,reasons,classification,technical_source
7a94a32f-40d9-42eb-b03d-afe76c71ea36,Alternating Side Reaches,Estensione laterale,,,35,0,,attrezzatura compatibile,CREATE_NEW_VERIFIED,public.exercise_movement_metadata + public.exercises read-only snapshot
83b448e2-7782-42ff-bcf6-1ce7a7e9a5a4,Hip Circle hops,Rimbalzo,,,35,0,,attrezzatura compatibile,CREATE_NEW_VERIFIED,public.exercise_movement_metadata + public.exercises read-only snapshot
92d81e10-c495-4bf9-b205-a079f8711097,L-sit to tucked L-sit,L-sit to tucked L-sit,,,35,0,,attrezzatura compatibile,CREATE_NEW_VERIFIED,public.exercise_movement_metadata + public.exercises read-only snapshot
9acaf8fd-1e81-4106-8d86-921b013f36c0,Arch Skydiver,Skydiver prono in estensione,,,35,0,,attrezzatura compatibile,CREATE_NEW_VERIFIED,public.exercise_movement_metadata + public.exercises read-only snapshot
a64ffb04-76a7-431a-a9a5-6addeab61813,Barbell Ab Rollout,Ab Rollout con bilanciere,,,35,0,,attrezzatura compatibile,CREATE_NEW_VERIFIED,public.exercise_movement_metadata + public.exercises read-only snapshot
aa3d8f09-8870-4ec1-aada-7760020dfeaa,Cable Fly Low to High,Croci ai cavi dal basso verso l’alto,,,35,0,,attrezzatura compatibile,CREATE_NEW_VERIFIED,public.exercise_movement_metadata + public.exercises read-only snapshot
b43b051d-cd66-41c7-8772-f81797ce872c,Barbell Glute Bridge,Glute bridge con bilanciere,,,35,0,,attrezzatura compatibile,CREATE_NEW_VERIFIED,public.exercise_movement_metadata + public.exercises read-only snapshot
b771f714-b1dc-49f8-8df5-9f8ae35bbbae,Bird Dog,Bird dog,,,35,0,,attrezzatura compatibile,CREATE_NEW_VERIFIED,public.exercise_movement_metadata + public.exercises read-only snapshot
beb4aef0-332a-4be7-9839-d51e65772e33,Toes to bar,Toes to bar,,,35,0,,attrezzatura compatibile,CREATE_NEW_VERIFIED,public.exercise_movement_metadata + public.exercises read-only snapshot
c2fbe7d4-e9a5-41f8-b8eb-d903948d268b,1 Leg Left Right Hop over Cone,Salto laterale sopra il cono su una gamba sola,,,35,0,,attrezzatura compatibile,CREATE_NEW_VERIFIED,public.exercise_movement_metadata + public.exercises read-only snapshot
c67b0b0a-c636-4cff-9628-8ecd1e5482ca,Single leg glute bridge,monopodalico Ponte,,,35,0,,attrezzatura compatibile,CREATE_NEW_VERIFIED,public.exercise_movement_metadata + public.exercises read-only snapshot
ca5187cf-f9c2-4ad3-b932-4dccc2e47f7e,Broad jumps,Salto in lungo,,,35,0,,attrezzatura compatibile,CREATE_NEW_VERIFIED,public.exercise_movement_metadata + public.exercises read-only snapshot
d0a73aa8-dc45-49dd-951d-de4825a74ada,Barbell Skull Crushers,French press con bilanciere da sdraiato,,,35,0,,attrezzatura compatibile,CREATE_NEW_VERIFIED,public.exercise_movement_metadata + public.exercises read-only snapshot
daeabed2-d92e-4de2-87c0-138bcc0009b4,Reverse Step Up,Step-up inverso,,,35,0,,attrezzatura compatibile,CREATE_NEW_VERIFIED,public.exercise_movement_metadata + public.exercises read-only snapshot
ecf8bc6c-e7c9-4dcb-949a-e04f6e0c93bb,1 Leg Lateral Broad Jump,Balzo laterale monopodalico,,,35,0,,attrezzatura compatibile,CREATE_NEW_VERIFIED,public.exercise_movement_metadata + public.exercises read-only snapshot
ee79ed25-3455-4730-acd9-5173de6085c9,Ab Bridge Complex,complesso Ponte,,,35,0,,attrezzatura compatibile,CREATE_NEW_VERIFIED,public.exercise_movement_metadata + public.exercises read-only snapshot
