"normalized_name","count","ids"
"da sdraiato crunch","2","3e840d86-0fd5-4ac2-b152-2bcc8ecc67c3|b2a0896a-3900-4a82-bd7d-30e4b74687e9"
"squat a corpo libero","2","42ee935a-8052-4d1b-bde6-d64bb2389e57|f28e1faf-4677-453e-9007-8329d7a67e2d"
"dip su panca","2","48b2c98e-b82f-49aa-b847-b871a69e1b95|79084f10-c317-4c40-ae0c-45d0b760298d"
"laterale allungamento","2","50f6c403-a7eb-4c43-9723-c9c4ee7defc7|dfbfc890-af85-4be4-a8c6-782f666f538d"
"affondi indietro","5","55df26c1-83f4-439a-89be-22c156a3e118|808799af-013a-4f71-94e7-3fdea59b9ecf|80b6b175-77a8-48ac-9a09-495d114d88ef|b3fdc5d4-1225-4f12-8b42-86fc0617aeb6|cea24bde-a9ce-4de1-93e6-3c019e1520d2"
"plank","2","61410917-4fb1-41f8-86d5-16dc88fe380b|7e35442f-7c48-4d32-8e18-2761542f9b17"
"cavo estensione","2","6413b465-6df0-4e2c-9f4b-ae36dc70ebbf|db7c0708-ea39-47cb-89c8-73e749abcfa6"
"push up presa larga","2","67f7b774-4b0f-4252-b5df-2555e9f5d0c8|cbedc7e1-a023-41fb-938e-f62e0ffdb7d2"
"affondi con bilanciere","2","714b176e-2963-43f0-ae0f-c71643cbe426|dd57e914-d0ef-4d6f-8724-d72f220b7422"
"in piedi allungamento","4","75593cee-6a28-4842-8222-150647b2157b|83df9077-41ca-4376-b5de-f4ea0393b6f8|8b749c78-6f8d-46d7-ab75-bb42ed161ae1|ff71c077-37d0-4819-9336-14d4946755f2"
"su rialzo salto su rialzo","2","768c2a0e-5824-42f9-8175-b296f0433c02|ffded4df-0bf5-4522-8c94-cf15492a8271"
"stacco da terra con kettlebell","2","8f2f2d63-4e39-408b-b450-f88c27d8ae1a|94e15f81-eee6-418c-9c25-6201b6c9f23e"
"rematore con manubrio a un braccio","2","ac7982bb-1a81-4870-ae78-ce37bb485601|bda6ae04-2619-43a7-8261-490d85444eb2"
"rematore con bilanciere","2","b0c07cf7-545e-4c74-8224-3355a2669fb2|dbf6a8e4-19dc-4d01-8014-f195a1eb817c"
"bear plank con shoulder tap","2","c2a135e7-1383-47c1-9757-4868ae9a8c55|f2fef2bc-353c-4f3b-b7c3-ee5d63e2a87b"
