external_exercise_id,ymove_title,final_italian_name,approved_italian_name,researched_italian_name,intelligent_italian_name,translation_status,source_confidence
c4d91f02-e796-4992-a08d-531b1d4bb16b,Bear crawl shoulder tap to pike push up,Bear crawl con shoulder tap e pike push-up,,Bear crawl con shoulder tap e pike push-up,Push-up,review_required,72.0
accf9858-fd32-4f43-aa4d-0bd0f53d7498,Bear crawl to pike push up,Bear crawl con pike push-up,,Bear crawl con pike push-up,Push-up,review_required,72.0
214c3916-f02f-456f-9750-70fd0679295a,Bear crawls,Bear crawl,,Bear crawl,Crawl,review_required,88.0
5d6d9ca4-1ace-4dc9-b408-6ced49b753e7,Bear hold,Bear hold,,Bear hold,Bear,review_required,86.0
b21be739-d8af-416f-83e4-fc65509a9a28,Bear plank ankle taps into jumps,Bear plank con tocchi alle caviglie e salti,,Bear plank con tocchi alle caviglie e salti,Plancia,review_required,70.0
c2a135e7-1383-47c1-9757-4868ae9a8c55,Bear plank Shoulder taps,Bear plank con shoulder tap,,Bear plank con shoulder tap,Spalla,review_required,86.0
f2fef2bc-353c-4f3b-b7c3-ee5d63e2a87b,Bear plank shoulder taps - 30,Bear plank con shoulder tap,,Bear plank con shoulder tap,Spalla,review_required,88.0
63603235-6df6-4c55-b0fe-c417fee626b8,Bear plank side tap sidewalks,Bear plank con side tap laterali,,Bear plank con side tap laterali,Plancia,review_required,68.0
638616d3-100b-4b14-8516-ff9e4b3e80f2,Bear plank steps and hops,Bear plank con passi e salti,,Bear plank con passi e salti,Plancia,review_required,68.0
c794e5f9-f603-4f1a-a108-1989ff2b8215,Bear plank toe taps,Bear plank con toe tap,,Bear plank con toe tap,Plancia,review_required,70.0
59887212-af71-41e1-9b3f-afe352ba1979,Bear toe taps,Bear toe taps,,Bear toe taps,Bear,review_required,45.0
fc721ada-0004-40d7-9e1e-634dc9b34877,Behind the Head Curl with Cable,Curl ai cavi dietro la testa,,Curl ai cavi dietro la testa,Cavo Cavo,generated,78.0
ab1681a6-93a1-4e51-ac8c-c76f02ef3737,Behind the Neck Rope Pulldown,Pulldown dietro la nuca con corda,,Pulldown dietro la nuca con corda,Tirata,review_required,76.0
051a5802-da89-415d-a912-93162c89a4bf,Behind the Neck Shoulder Press Machine,Shoulder press alla macchina dietro la nuca,,Shoulder press alla macchina dietro la nuca,Machine Spalla,generated,74.0
48b2c98e-b82f-49aa-b847-b871a69e1b95,Bench Dips,Dip su panca,,Dip su panca,Dip,review_required,90.0
79084f10-c317-4c40-ae0c-45d0b760298d,Bench Dips,Dip,,,Dip,review_required,
4402c7a1-0845-4da2-882d-4e06fc275b8b,Bench Jump,Salto,,,Salto,review_required,
58d0fe05-1a66-4b80-a6d8-2dc2f0d73169,Bench Press,panca Panca,,,panca Panca,generated,
53f37f4b-c486-4ebb-846b-953078455bfe,Bent leg v-sit into punches,Bent leg v-sit into punches,,,Bent leg v-sit into punches,review_required,
059690e8-f60d-4099-b3ae-93d18358a59a,Bent Over Barbell Row,Bilanciere Bilanciere,,,Bilanciere Bilanciere,generated,
6e4be416-7097-4301-bfb9-f62bc69f1fa7,Bent Over Barbell Row Overhand Grip,Bilanciere Bilanciere,,,Bilanciere Bilanciere,generated,
716ba91e-0ab4-4f1f-bbd9-dd06e25e0da6,Bent Over Barbell Row Underhand Grip,Bilanciere Bilanciere,,,Bilanciere Bilanciere,generated,
de70b78c-7dec-4a91-acc7-d75ae27eb765,Bent Over Dumbbell Rear Delt Raise,Manubrio Manubrio,,,Manubrio Manubrio,generated,
7ab0bece-90eb-45f1-9b22-3fd86c376aa1,Bent Over Dumbbell Reverse Fly,Manubrio Manubrio,,,Manubrio Manubrio,generated,
c7c76fa8-908a-4ee0-977c-35f12057676d,Bent over Dumbbell Tricep Extension,Manubrio Estensione,,,Manubrio Estensione,generated,
43c81170-5fc1-46dd-92b0-6a308c22cec1,Bent Over One-Arm Long Bar Row,Remata,,,Remata,generated,
ad8e32a3-091a-4b10-a316-8984807ce817,Bent Over Two-Arm Long Bar Row - 105,Remata,,,Remata,generated,
7aaad2c1-c499-40dd-84e5-a66b910e6f8b,Bent Over Two-Dumbbell Row With Palms In,Manubrio Manubrio,,,Manubrio Manubrio,generated,
87a9f879-77ef-4dbe-8e8e-b15fea5052a7,Bicycle punches,Bicycle punches,,,Bicycle punches,review_required,
b771f714-b1dc-49f8-8df5-9f8ae35bbbae,Bird Dog,Bird dog,,,Bird dog,review_required,
a36c63b9-c3d4-432d-a135-1ca81a162d35,Boat hold,Boat hold,,,Boat hold,review_required,
e396f5be-9c22-44ff-b825-d754d807f5fd,Boat pose,Boat pose,,,Boat pose,review_required,
42ee935a-8052-4d1b-bde6-d64bb2389e57,Bodyweight Squat,Squat,,,Squat,review_required,
f28e1faf-4677-453e-9007-8329d7a67e2d,Bodyweight Squat (air squat),Squat,,,Squat,review_required,
33869887-32ab-4c66-b033-3bef9e5de372,Bodyweight Triceps Extension (with bar),Estensione,,,Estensione,review_required,
4c799907-a832-42b2-b9b3-bfb75a68c840,Bow pose,Bow pose,,,Bow pose,review_required,
ffded4df-0bf5-4522-8c94-cf15492a8271,Box Jump,su rialzo Salto su rialzo,,,su rialzo Salto su rialzo,review_required,
768c2a0e-5824-42f9-8175-b296f0433c02,Box jumps,su rialzo Salto su rialzo,,,su rialzo Salto su rialzo,review_required,
0e19fa47-7a77-4fdf-86a0-66258725fa3d,Box Toe Tap,Box Toe Tap,,,Box Toe Tap,review_required,
c4f2aff0-d474-473a-ad7d-559033aac8b3,Bridge march,Ponte,,,Ponte,review_required,
31f0a2a6-2d44-4c33-bf3a-2d0687b748a4,Bridge pose,Ponte,,,Ponte,review_required,
ca5187cf-f9c2-4ad3-b932-4dccc2e47f7e,Broad jumps,Salto in lungo,,,Salto in lungo,review_required,
cd6edab4-3f1e-477f-8a88-54f9c683c9de,Bulgarian split squat,Squat,,,Squat,review_required,
74a22260-8090-40b6-a13a-4d366c0d5fd6,Bulgarian split squat - with Barbell,Bilanciere Bilanciere,,,Bilanciere Bilanciere,generated,
d81d953b-b29d-438a-aeee-610523bca09d,Bulgarian split squat with Dumbbell,Manubrio Manubrio,,,Manubrio Manubrio,generated,
b160ea44-725a-415f-919a-4edad64d3ce3,Burpee (No jump),Burpee,,,Burpee,review_required,
a4715d5c-446e-4937-a25a-254652773990,Burpee (No jump) into high plank with shoulder tabs,Spalla,,,Spalla,review_required,
c424ec91-5260-4a23-800d-1a5e140f8320,Butt bridges,Ponte,,,Ponte,review_required,
1effe46b-4944-4308-b0d3-dd87a0c71bc2,Butt kickers,Butt kickers,,,Butt kickers,review_required,
ed1451e4-ceef-4aa9-a883-24b733b83edd,Butterfly crunches,Crunch,,,Crunch,review_required,
22bf3fc2-d7a0-41d0-9a1a-5e0d149d2b7a,Butterfly Jumps,Salto,,,Salto,review_required,
f96ea3ee-fb2f-4a0f-bc3b-7e63959450c5,Butterfly Stretch,Allungamento,,,Allungamento,review_required,
5e751b08-c767-4a40-8ef7-62d271995c86,Cable Bicep Curl bar,Cavo Cavo,,,Cavo Cavo,generated,
f03c074c-398c-4c33-abd9-980ec883fdbd,Cable Bicep Curl rope,Cavo Cavo,,,Cavo Cavo,generated,
3adef0aa-9687-4cd0-acf6-410c9fa4ba76,Cable Crossover (Mid),Cavo Cavo,,,Cavo Cavo,generated,
6cecf804-dcf6-484b-8e1d-57e0d152bbb7,Cable Crunch kneeling,Cavo in ginocchio Crunch,,,Cavo in ginocchio Crunch,generated,
b2073383-2f4c-419e-95f3-0e1cd4f02c34,Cable Deadlift,Cavo Stacco da terra,,,Cavo Stacco da terra,generated,
f6fa126f-2811-454f-a542-39780209c9ec,Cable Diagonal Kickback,Cavo Cavo,,,Cavo Cavo,generated,
9ddd0baa-fa4b-4f5a-8dd4-3a68dc557563,Cable Fly - High to Low,Cavo Cavo,,,Cavo Cavo,generated,
aa3d8f09-8870-4ec1-aada-7760020dfeaa,Cable Fly Low to High,Cavo Cavo,,,Cavo Cavo,generated,
20500648-961e-4344-bb9b-c775ffc1fe71,Cable Front Kick,Cavo Cavo,,,Cavo Cavo,generated,
697ec8a9-34fe-419e-a1b8-825456a3b335,Cable Front Raise,Cavo Alzata frontale,,,Cavo Alzata frontale,generated,
d3f23ea3-a3d3-46cd-940b-707efea0df5c,Cable Glute Kickback,Cavo Glutei,,,Cavo Glutei,generated,
8503592c-a179-456b-9417-5fb5e84fad1a,Cable Hip Abduction,Cavo Cavo,,,Cavo Cavo,generated,
86a5f361-6b81-4ab7-a769-c32ca56d5ae4,Cable Hip Abduction,Cavo Cavo,,,Cavo Cavo,generated,
db7c0708-ea39-47cb-89c8-73e749abcfa6,Cable Hip Extension,Cavo Estensione,,,Cavo Estensione,generated,
cd2bfdbe-71d7-4d3e-8b03-fc4a5ed73bf4,Cable Kickback,Cavo Cavo,,,Cavo Cavo,generated,
a6a9ea7b-c868-4924-842a-9c3232698c3b,Cable Lateral Raise,Cavo laterale Alzata laterale,,,Cavo laterale Alzata laterale,generated,
ca7a2f9d-3af1-40cd-a33f-431f437a2902,Cable Preacher Curl,Cavo Cavo,,,Cavo Cavo,generated,
95fb26cd-a80a-4d69-92a0-af6bf54128bc,Cable Pull-Through,Cavo Cavo,,,Cavo Cavo,generated,
d237c00f-e6f3-44f0-953b-5db4c970f873,Cable Rear Delt Fly,Cavo Cavo,,,Cavo Cavo,generated,
7665b7ae-4cea-4591-bafe-e73cdaa5beac,Cable Rope Face Pull,Cavo Cavo,,,Cavo Cavo,generated,
b4824ea0-4d0a-418e-b22d-462b11dc9992,Cable Rope Pullover,Cavo Cavo,,,Cavo Cavo,generated,
b35c3787-5974-4cca-b3d5-c28f7efa1472,Cable Rope Tricep Pushdown,Push-up tricipiti,,,Push-up tricipiti,generated,
646f354b-3790-4796-bfd9-cd9df04bcc16,Cable Step-Ups,Cavo Cavo,,,Cavo Cavo,generated,
21dda23e-d221-4800-924e-498f4398f203,Cable Straight Leg Kickback,Cavo Cavo,,,Cavo Cavo,generated,
207924a2-ae75-4371-be43-49c3cc62b4e1,Cable Tricep Pushdown,Push-up tricipiti,,,Push-up tricipiti,generated,
ab522399-6b5e-4a37-aa7a-47d2ec862631,Cable Tricep Pushdown,Push-up tricipiti,,,Push-up tricipiti,generated,
56c25b1f-91f4-4fd1-99b9-89e4da81ecdc,Cable Upright Row,Cavo Cavo,,,Cavo Cavo,generated,
23d6cf5e-2f9a-4f78-a962-d22e6fe36aa9,Cable Woodchop (High to Low),Cavo Cavo,,,Cavo Cavo,generated,
25ec2936-1aa7-4fb9-86a3-e3b73ab94e7c,Cable Woodchop low to high,Cavo Cavo,,,Cavo Cavo,generated,
8577f8c3-283b-472b-b5cf-d0eaa8e84762,Calf gas peddlers,Calf gas peddlers,,,Calf gas peddlers,review_required,
6a20f987-50aa-4023-9d0a-723759a24d55,Calf Raise Intervals,Intervallato,,,Intervallato,generated,
43946d04-02aa-4dc8-9a67-3cb759440c22,Calf Raises,Alzata,,,Alzata,review_required,
90924318-0ca7-46ec-9e87-36b80e02196f,Calf stretch (left),Allungamento,,,Allungamento,review_required,
5ce9ef64-7527-4321-997b-1d1bc071f91a,Calf stretch (right),Allungamento,,,Allungamento,review_required,
cb06c2a3-ef02-4e60-b9ab-7d692fa97bc4,Camel pose,Camel pose,,,Camel pose,review_required,
675fab33-9f21-4386-8a43-a319d0684841,Cat cow pose,Cat cow pose,,,Cat cow pose,review_required,
8e75c181-9db4-4e20-8fa7-be744f820f95,Cat pose,Cat pose,,,Cat pose,review_required,
d749fe82-c106-48d7-9508-7ab1cb88ec1b,Chair Leg Extension,Leg extension,,,Leg extension,review_required,
46f8865d-24c2-4c81-a886-aa458c5653c5,Chair pose,Chair pose,,,Chair pose,review_required,
f8255cfd-7c0e-4451-89a5-947009e4fd13,Chair running chair step knee touch,Chair running chair step knee touch,,,Chair running chair step knee touch,review_required,
89b62000-867f-4f98-b24c-ad9b5708d015,Chair sit ups,Chair sit ups,,,Chair sit ups,review_required,
af0e7c20-cd4a-4c26-ac10-1ef6bdaaf35e,chair Twists,chair Twists,,,chair Twists,review_required,
55bd4c71-78c6-49bd-aaaa-8c03b7528342,Chameleon push up,Push-up,,,Push-up,review_required,
a97c208e-1c40-4410-b51a-a86e5cc37a04,Chameleon push up to mountain climbers,Push-up,,,Push-up,review_required,
9225c7c5-66a0-42c5-8de4-866389741736,Chest and shoulder,Spalla,,,Spalla,review_required,
ee4ec1d3-6f4c-42bf-b338-ac175213a4e7,Chest Press Machine flat,Machine Machine,,,Machine Machine,generated,
926f4125-2676-45a8-96ee-2b6ace422494,Chest Supported Row Machine,Machine Machine,,,Machine Machine,generated,
e6bd8a96-cc6e-4805-bb2d-6755c9350dd9,Child_s pose -Lower back,Schiena,,,Schiena,review_required,
a61479a9-fc68-4b4b-9e4d-2f65cd41defa,Child's pose,Child's pose,,,Child's pose,review_required,
ea7d466a-ecd9-4fcb-9a52-53716b513417,Chin-Up (Underhand),Trazioni inverse,,,Trazioni inverse,review_required,
d48bc33d-8daa-456a-9f07-32b42a3798e5,Clams side lying with knee lifts,Clams side lying with knee lifts,,,Clams side lying with knee lifts,review_required,
705b3080-cf01-42f4-be0f-ea9e3f83599f,Close Grip Bench Barbell,Bilanciere presa stretta Bilanciere,,,Bilanciere presa stretta Bilanciere,generated,
4668a912-ef55-4b3e-8d9c-53359d6aba29,Close Grip Dumbbell Press,Manubrio presa stretta Manubrio,,,Manubrio presa stretta Manubrio,generated,
d18679b0-3ce0-409b-9955-584976544f45,Close Grip Incline Dumbbell Press,Manubrio inclinato presa stretta Manubrio,,,Manubrio inclinato presa stretta Manubrio,generated,
10a31695-e218-4819-b7d3-b67b1b5ac79d,Close Grip Lat Pulldown,Lat machine,,,Lat machine,review_required,
1e99855d-fbf5-433e-9273-6f4e318a6ffe,Close Grip Lat Pulldown,Lat machine,,,Lat machine,review_required,
5ce18079-7df5-48e0-828e-63005b8eb3d1,Close Grip Lat Pulldown to Waist,Lat machine,,,Lat machine,review_required,
10d2c91e-60e8-416d-8c91-def45954009c,Close Grip Plate Press,presa stretta con disco Spinta,,,presa stretta con disco Spinta,review_required,
bb30b96e-da77-44d7-aabe-d02a7bdcaa23,Cobbler's pose,Cobbler's pose,,,Cobbler's pose,review_required,
1e381fba-eedc-410c-ba1f-1c9c255f4d0f,Cobra pose,Cobra pose,,,Cobra pose,review_required,
22880d49-67f2-4f14-9510-046c32da166b,Concentration Curl,Curl,,,Curl,review_required,
372da9df-3ee6-450c-ae97-743968d27d71,Concentration Hammer Curl,Curl,,,Curl,review_required,
658fa4e6-8b1d-48f4-b97d-7c576783ad73,Corpse pose,Corpse pose,,,Corpse pose,review_required,
513d039d-e6d0-459e-9ae7-4847a586871b,Cow face pose (left),Cow face pose (left),,,Cow face pose (left),review_required,
4d433881-e521-45e3-a36e-8672953714c0,Cow face pose (right),Cow face pose (right),,,Cow face pose (right),review_required,
3d8fe08e-93ba-49ac-b5f9-92dbac0d39b2,Cow pose,Cow pose,,,Cow pose,review_required,
fd93f455-3544-4c89-afa2-bcdf980aa53d,Crab hold to to taps,Granchio,,,Granchio,review_required,
1abe4475-eab9-4532-a583-68cc06681462,Crab hold toe tap,Granchio,,,Granchio,review_required,
d7078f6a-a0eb-47e6-9396-98b250afff34,Crab Walk,Granchio,,,Granchio,review_required,
85a71ed6-caf0-4b0c-aa70-0419d8f81157,Crab walk to squat,Squat,,,Squat,review_required,
10be21b8-de6f-4c33-9101-eadca351e663,Crab walks into squats,Squat,,,Squat,review_required,
8dcf57f2-24d8-4f4d-802c-2eacbe9d578f,Crescent lunge (left),Affondo,,,Affondo,review_required,
db4a932d-2e11-4809-843e-cb3c1df4535b,Crescent lunge (right),Affondo,,,Affondo,review_required,
0e43c62b-bcf6-4115-8fa4-3049a4d8f24a,Criss-cross jumping jacks,Salto,,,Salto,review_required,
b8fb88dc-d819-4e65-86c8-7ea13703afdb,Cross Body Hammer Curl,Curl,,,Curl,review_required,
6362bdab-a7d7-49e8-85ab-fe1eb610cb4e,Cross body pulls to hamstring kicks,Tirata,,,Tirata,review_required,
068d316f-52b0-4438-a7c9-ee21ceca2c2f,Crunches,Crunch,,,Crunch,review_required,
5f84b3d2-daff-4fc1-bb8c-c9524689af7d,Cuads Belt Squat Machine,Machine Machine,,,Machine Machine,generated,
b3d44ba8-5fdd-4a7e-ace2-1b12d5901b0b,Cuban Press,Spinta,,,Spinta,review_required,
ea1016da-2d73-4ff8-ad2a-9b36150d2f85,Dead Bug,Dead bug,,,Dead bug,review_required,
7c9e7503-35f4-4dd3-a515-3b7ad96e21da,Dead Bug with Dumbbells,Manubrio Manubrio,,,Manubrio Manubrio,review_required,
8f2f2d63-4e39-408b-b450-f88c27d8ae1a,Deadlift with Kettlebell,Kettlebell Kettlebell,,,Kettlebell Kettlebell,review_required,
f67b5c4a-a959-4b13-933e-633d4faeab95,Deadstop push up,Push-up,,,Push-up,review_required,
e8a79472-7809-42d4-89cc-c3c351d86982,Deadstop push up into superman crunches,Push-up,,,Push-up,review_required,
76741ca2-8960-4323-a495-c595291e3c56,Deadstop push ups,Push-up,,,Push-up,review_required,
b9e7733d-fbba-413a-98d9-71803ae1edb4,Deadstop pushup to superman crunch,Push-up,,,Push-up,review_required,
8796655f-6390-4ae1-a143-1fe6cde817cb,Decline Chest Press Machine,Machine declinato Machine,,,Machine declinato Machine,generated,
4c5c90fd-01a3-45f6-a952-712743be9c81,Decline Close Grip Dumbbell Press,Manubrio declinato presa stretta Manubrio,,,Manubrio declinato presa stretta Manubrio,generated,
426861d9-64ac-40f6-bf3e-f7ebc05ba6af,Decline Push Up,Push-up,,,Push-up,generated,
8bbcc469-9283-4776-a12c-882060dd396c,Declined Push up - 56,Push-up,,,Push-up,review_required,
ffef6f38-6074-43b9-9256-2edc78dcf698,Deficit Calf Raise,da deficit Alzata,,,da deficit Alzata,generated,
9d5a2722-801b-4741-8d9b-11e9a3a4ae2d,Devil press,Spinta,,,Spinta,review_required,
2930d41f-177c-4f36-bd91-4867afb85a3b,Dips,Dip,,,Dip,review_required,
60ec7728-577b-4dea-a5e9-4b8ac16b6038,Dips - Triceps Version,Dip,,,Dip,review_required,
fcc15585-b472-487f-8367-7459ee909832,Dips on bench,Dip,,,Dip,review_required,
3add251e-6e58-4f80-902c-ab32e0b61966,Dips on bench 2,Dip,,,Dip,review_required,
95640151-0b58-4872-94de-a14680227a66,Dips parallel bars,Dip,,,Dip,review_required,
b219f35b-9bca-4eb5-a010-e0ded6208942,Dive bombers,Dive bombers,,,Dive bombers,review_required,
fbffd9c1-bffd-4fb0-ae4c-258834c5fcd2,Donkey Kick with Dumbbell,Manubrio Manubrio,,,Manubrio Manubrio,generated,
