"Timestamp","PID","ProcessName","CpuPercentDelta","WorkingSetMB","PrivateMemoryMB","ReadMBsDelta","WriteMBsDelta"
"2026-07-26T13:45:52","22168","chrome","0","323,24","386,48","0","0"
"2026-07-26T13:45:52","876","Memory Compression","0","740,09","5,32","0","0"
"2026-07-26T13:45:52","10680","msedgewebview2","1,24","132,7","232,66","0","0"
"2026-07-26T13:45:52","23592","powershell","1,65","195,16","174,57","0","0"
"2026-07-26T13:46:00","19520","chrome","0","491,9","796,75","0","0"
"2026-07-26T13:46:00","21724","chrome","0,31","4715,45","5806,34","0","0"
"2026-07-26T13:46:00","22168","chrome","0","323,24","386,48","0","0"
"2026-07-26T13:46:00","876","Memory Compression","0","790,54","5,32","0","0"
"2026-07-26T13:46:00","23592","powershell","1,83","195,12","174,49","0","0"
"2026-07-26T13:46:13","19520","chrome","0,02","491,97","797","0","0"
"2026-07-26T13:46:13","21724","chrome","0,21","4717,03","5808,09","0","0"
"2026-07-26T13:46:13","22168","chrome","0","323,38","386,98","0","0"
"2026-07-26T13:46:13","876","Memory Compression","0","790,24","5,32","0","0"
"2026-07-26T13:46:13","23592","powershell","1,18","195,43","174,54","0","0"
"2026-07-26T13:46:22","19520","chrome","0","491,97","797","0","0"
"2026-07-26T13:46:22","21724","chrome","3,38","4716,35","5806,87","0","0"
"2026-07-26T13:46:22","22168","chrome","0","322,56","385,98","0","0"
"2026-07-26T13:46:22","876","Memory Compression","0","790,23","5,32","0","0"
"2026-07-26T13:46:22","23592","powershell","1,91","195,38","174,54","0","0"
"2026-07-26T13:46:30","19520","chrome","0","491,97","797","0","0"
"2026-07-26T13:46:30","21724","chrome","0,19","4717,7","5808,19","0","0"
"2026-07-26T13:46:30","22168","chrome","0","322,56","385,98","0","0"
"2026-07-26T13:46:30","876","Memory Compression","0","790,32","5,32","0","0"
"2026-07-26T13:46:30","23592","powershell","1,55","195,58","174,77","0","0"
